"filename", "language", "PHP", "HTML", "CSS", "Markdown", "XML", "JSON", "SCSS", "JavaScript", "comment", "blank", "total"
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\404.css", "CSS", 0, 0, 255, 0, 0, 0, 0, 0, 4, 40, 299
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\font.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 11, 2, 16
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\index.html", "HTML", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\login.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\new2.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\parallax-login.css", "CSS", 0, 0, 72, 0, 0, 0, 0, 0, 3, 10, 85
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\parallax.css", "CSS", 0, 0, 73, 0, 0, 0, 0, 0, 2, 10, 85
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\select-box.css", "CSS", 0, 0, 17, 0, 0, 0, 0, 0, 3, 1, 21
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\select-box.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 3, 1, 19
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\css\verify-email.css", "CSS", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\db-con.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 3, 4, 12
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\download-loading.svg", "XML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 19
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\favicon_io\site.webmanifest", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\icons\approved.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\icons\decline.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\icons\details.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\icons\lists.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
